INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"ae617386-8982-415a-aa7a-24d911edc1d1","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'ae617386-8982-415a-aa7a-24d911edc1d1' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = 'ae617386-8982-415a-aa7a-24d911edc1d1'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"cd4805b0-347b-41ff-bdb5-0bb25281f7fa","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'cd4805b0-347b-41ff-bdb5-0bb25281f7fa' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = 'cd4805b0-347b-41ff-bdb5-0bb25281f7fa'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"85d878b9-23f1-4de5-a39a-aee36b7a6f7d","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '85d878b9-23f1-4de5-a39a-aee36b7a6f7d' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = '85d878b9-23f1-4de5-a39a-aee36b7a6f7d'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"b4c4c9ad-b104-4646-93f0-8ae854b6a63f","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'b4c4c9ad-b104-4646-93f0-8ae854b6a63f' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = 'b4c4c9ad-b104-4646-93f0-8ae854b6a63f'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"65cc14bb-b7fd-4683-9a2a-45819d370975","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"49705981-ae09-4793-9865-37d23288cd08","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"4aba5418-dcbf-4cf4-8a35-35921172554b","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '4aba5418-dcbf-4cf4-8a35-35921172554b' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = '4aba5418-dcbf-4cf4-8a35-35921172554b'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"cecbc54e-a269-451a-8183-e24965a1d0da","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'cecbc54e-a269-451a-8183-e24965a1d0da' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = 'cecbc54e-a269-451a-8183-e24965a1d0da'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"8c02f231-2127-4da3-ad26-3e2c8b81b680","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '8c02f231-2127-4da3-ad26-3e2c8b81b680' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = '8c02f231-2127-4da3-ad26-3e2c8b81b680'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"d0004b7c-a3ce-47ea-832f-d100c8741fe5","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'd0004b7c-a3ce-47ea-832f-d100c8741fe5' and amount_due > 0","$sql2":"select weeks_due from `vold_debts` where repeating_invoice_id = 'd0004b7c-a3ce-47ea-832f-d100c8741fe5'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"ae617386-8982-415a-aa7a-24d911edc1d1","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'ae617386-8982-415a-aa7a-24d911edc1d1'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = 'ae617386-8982-415a-aa7a-24d911edc1d1'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"cd4805b0-347b-41ff-bdb5-0bb25281f7fa","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'cd4805b0-347b-41ff-bdb5-0bb25281f7fa'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = 'cd4805b0-347b-41ff-bdb5-0bb25281f7fa'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"85d878b9-23f1-4de5-a39a-aee36b7a6f7d","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '85d878b9-23f1-4de5-a39a-aee36b7a6f7d'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '85d878b9-23f1-4de5-a39a-aee36b7a6f7d'","result1":2,"result2":2} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"b4c4c9ad-b104-4646-93f0-8ae854b6a63f","$sql1":"select count(*) from vinvoices where repeating_invoice_id = 'b4c4c9ad-b104-4646-93f0-8ae854b6a63f'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = 'b4c4c9ad-b104-4646-93f0-8ae854b6a63f'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"65cc14bb-b7fd-4683-9a2a-45819d370975","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '65cc14bb-b7fd-4683-9a2a-45819d370975'","result1":1,"result2":1} 
INFO | 2024-11-6, 1:27 am > New Setup |  
INFO | 2024-11-6, 1:27 am > Test results:  | {"rpi":"49705981-ae09-4793-9865-37d23288cd08","$sql1":"select count(*) from vinvoices where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08'","$sql2":"select total_weeks from `vold_debts` where repeating_invoice_id = '49705981-ae09-4793-9865-37d23288cd08'","result1":3,"result2":3} 
INFO | 2024-11-6, 1:27 am > New Setup |  
